Discord January-June 2024 Transparency Report CSV,,,,,
,,,,,
Accounts and Servers: Warnings & Temporary Interventions,,,,,
Policy Category,Individual Accounts,Servers,Server Members,,
Malta,2,0,,,
Mongolia,1,0,,,
Netherlands,12,7,,,
New Zealand,5,0,,,
Norway,3,0,,,
Poland,42,0,,,
Portugal,3,0,,,
Romania,4,0,,,
Serbia,2,0,,,
Singapore,1,0,,,
Spain,12,0,,,
Sweden,5,0,,,
Switzerland,3,0,,,
Taiwan,3,0,,,
Thailand,4,0,,,
Turkey,6,0,,,
United Arab Emirates,1,0,,,
United Kingdom,64,29,,,
,,,,,
Total,545,126,,,
,,,,,
Preservation Requests,,,,,
Country,Requests,Complied,,,
Australia,14,6,,,
Austria,5,3,,,
Brazil,27,19,,,
Canada,68,35,,,
Chile,1,1,,,
Denmark,8,4,,,
France,15,1,,,
Germany,29,3,,,
Iceland,2,0,,,
India,1,0,,,
Ireland,28,12,,,
Israel,1,0,,,
New Zealand,1,0,,,
Poland,3,0,,,
Portugal,1,0,,,
Slovenia,1,1,,,
Spain,1,0,,,
Switzerland,2,2,,,
Taiwan,1,0,,,
United Kingdom,11,5,,,
United States,"3,015","1,989",,,
,,,,,
Total,"3,235","2,081",,,
,,,,,
,,,,,
Emergency Requests,,,,,
Country,Requests,Complied,,,
Australia,9,5,,,
Austria,2,1,,,
Belgium,1,1,,,
Brazil,40,25,,,
Canada,56,40,,,
Czech Republic,1,1,,,
Denmark,2,1,,,
Estonia,1,1,,,
France,28,17,,,
Germany,33,15,,,
Greece,1,1,,,
India,4,1,,,
Israel,9,6,,,
Japan,10,4,,,
Netherlands,6,5,,,
Norway,1,0,,,
New Zealand,1,1,,,
Norway,4,3,,,
Poland,14,5,,,
Portugal,1,1,,,
Romania,1,0,,,
Spain,1,0,,,
Switzerland,3,2,,,
Turkey,1,0,,,
United Kingdom,30,14,,,
United States,280,164,,,
,,,,,
Total,539,314,,,
