Metric,Period Type,Period,Policy Type,Issue Policy,Task Type,Task,Location,Market,Result
Total accounts removed,quarterly,Oct-Dec 2020,ban_reason,Accounts suspected to be under the age of 13 removed,all,all,all,all,3515238.0
Total accounts removed,quarterly,Oct-Dec 2020,ban_reason,Other accounts removed,all,all,all,all,974454.0
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.9009999999999999
Removal rate within 24 hours,quarterly,Oct-Dec 2020,all,all,all,all,all,all,0.9309999999999999
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,Harassment and bullying,all,all,all,all,0.841
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,Hateful behavior,all,all,all,all,0.85
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,Illegal activities and regulated goods,all,all,all,all,0.95
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,Integrity and authenticity,all,all,all,all,0.927
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,Minor safety,all,all,all,all,0.953
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.92
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,Violent and graphic content,all,all,all,all,0.9259999999999999
Removal rate within 24 hours,quarterly,Oct-Dec 2020,issue,Violent extremism,all,all,all,all,0.889
Removal rate before any views,quarterly,Oct-Dec 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.693
Removal rate before any views,quarterly,Oct-Dec 2020,all,all,all,all,all,all,0.809
Removal rate before any views,quarterly,Oct-Dec 2020,issue,Harassment and bullying,all,all,all,all,0.503
Removal rate before any views,quarterly,Oct-Dec 2020,issue,Hateful behavior,all,all,all,all,0.574
Removal rate before any views,quarterly,Oct-Dec 2020,issue,Illegal activities and regulated goods,all,all,all,all,0.858
Removal rate before any views,quarterly,Oct-Dec 2020,issue,Integrity and authenticity,all,all,all,all,0.637
Removal rate before any views,quarterly,Oct-Dec 2020,issue,Minor safety,all,all,all,all,0.905
Removal rate before any views,quarterly,Oct-Dec 2020,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.799
Removal rate before any views,quarterly,Oct-Dec 2020,issue,Violent and graphic content,all,all,all,all,0.7759999999999999
Removal rate before any views,quarterly,Oct-Dec 2020,issue,Violent extremism,all,all,all,all,0.718
Category share,quarterly,Oct-Dec 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.19699999999999998
Category share,quarterly,Oct-Dec 2020,issue,Harassment and bullying,all,all,all,all,0.08199999999999999
Category share,quarterly,Oct-Dec 2020,issue,Hateful behavior,all,all,all,all,0.025
Category share,quarterly,Oct-Dec 2020,issue,Illegal activities and regulated goods,all,all,all,all,0.198
Category share,quarterly,Oct-Dec 2020,issue,Integrity and authenticity,all,all,all,all,0.031
Category share,quarterly,Oct-Dec 2020,issue,Minor safety,all,all,all,all,0.312
Category share,quarterly,Oct-Dec 2020,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.065
Category share,quarterly,Oct-Dec 2020,issue,Violent and graphic content,all,all,all,all,0.086
Category share,quarterly,Oct-Dec 2020,issue,Violent extremism,all,all,all,all,0.004
Total videos removed,quarterly,Oct-Dec 2020,all,all,all,all,all,all,46112104.0
Total videos removed,quarterly,Oct-Dec 2020,all,all,task_type,automation,all,all,4923971.0
Removal rate of published,quarterly,Oct-Dec 2020,all,all,all,all,all,all,0.006
Proactive removal rate,quarterly,Oct-Dec 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.8640000000000001
Proactive removal rate,quarterly,Oct-Dec 2020,all,all,all,all,all,all,0.914
Proactive removal rate,quarterly,Oct-Dec 2020,issue,Harassment and bullying,all,all,all,all,0.653
Proactive removal rate,quarterly,Oct-Dec 2020,issue,Hateful behavior,all,all,all,all,0.728
Proactive removal rate,quarterly,Oct-Dec 2020,issue,Illegal activities and regulated goods,all,all,all,all,0.958
Proactive removal rate,quarterly,Oct-Dec 2020,issue,Integrity and authenticity,all,all,all,all,0.826
Proactive removal rate,quarterly,Oct-Dec 2020,issue,Minor safety,all,all,all,all,0.965
Proactive removal rate,quarterly,Oct-Dec 2020,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.941
Proactive removal rate,quarterly,Oct-Dec 2020,issue,Violent and graphic content,all,all,all,all,0.927
Proactive removal rate,quarterly,Oct-Dec 2020,issue,Violent extremism,all,all,all,all,0.852
Videos restored,quarterly,Oct-Dec 2020,all,all,all,all,all,all,1612146.0
Total accounts removed,quarterly,Jan-Mar 2021,ban_reason,Accounts suspected to be under the age of 13 removed,all,all,all,all,7263952.0
Total accounts removed,quarterly,Jan-Mar 2021,ban_reason,Other accounts removed,all,all,all,all,1476399.0
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.9
Removal rate within 24 hours,quarterly,Jan-Mar 2021,all,all,all,all,all,all,0.9309999999999999
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,Harassment and bullying,all,all,all,all,0.84
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,Hateful behavior,all,all,all,all,0.841
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.958
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,Integrity and authenticity,all,all,all,all,0.889
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,Minor safety,all,all,all,all,0.963
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.919
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,Violent and graphic content,all,all,all,all,0.938
Removal rate within 24 hours,quarterly,Jan-Mar 2021,issue,Violent extremism,all,all,all,all,0.872
Removal rate before any views,quarterly,Jan-Mar 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.696
Removal rate before any views,quarterly,Jan-Mar 2021,all,all,all,all,all,all,0.818
Removal rate before any views,quarterly,Jan-Mar 2021,issue,Harassment and bullying,all,all,all,all,0.523
Removal rate before any views,quarterly,Jan-Mar 2021,issue,Hateful behavior,all,all,all,all,0.55
Removal rate before any views,quarterly,Jan-Mar 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.882
Removal rate before any views,quarterly,Jan-Mar 2021,issue,Integrity and authenticity,all,all,all,all,0.642
Removal rate before any views,quarterly,Jan-Mar 2021,issue,Minor safety,all,all,all,all,0.924
Removal rate before any views,quarterly,Jan-Mar 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.8029999999999999
Removal rate before any views,quarterly,Jan-Mar 2021,issue,Violent and graphic content,all,all,all,all,0.815
Removal rate before any views,quarterly,Jan-Mar 2021,issue,Violent extremism,all,all,all,all,0.6759999999999999
Category share,quarterly,Jan-Mar 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.156
Category share,quarterly,Jan-Mar 2021,issue,Harassment and bullying,all,all,all,all,0.08
Category share,quarterly,Jan-Mar 2021,issue,Hateful behavior,all,all,all,all,0.023
Category share,quarterly,Jan-Mar 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.21100000000000002
Category share,quarterly,Jan-Mar 2021,issue,Integrity and authenticity,all,all,all,all,0.02
Category share,quarterly,Jan-Mar 2021,issue,Minor safety,all,all,all,all,0.368
Category share,quarterly,Jan-Mar 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.057
Category share,quarterly,Jan-Mar 2021,issue,Violent and graphic content,all,all,all,all,0.08
Category share,quarterly,Jan-Mar 2021,issue,Violent extremism,all,all,all,all,0.005
Total videos removed,quarterly,Jan-Mar 2021,all,all,all,all,all,all,61951327.0
Total videos removed,quarterly,Jan-Mar 2021,all,all,task_type,automation,all,all,8832345.0
Removal rate of published,quarterly,Jan-Mar 2021,all,all,all,all,all,all,0.008
Proactive removal rate,quarterly,Jan-Mar 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.861
Proactive removal rate,quarterly,Jan-Mar 2021,all,all,all,all,all,all,0.9129999999999999
Proactive removal rate,quarterly,Jan-Mar 2021,issue,Harassment and bullying,all,all,all,all,0.662
Proactive removal rate,quarterly,Jan-Mar 2021,issue,Hateful behavior,all,all,all,all,0.674
Proactive removal rate,quarterly,Jan-Mar 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.96
Proactive removal rate,quarterly,Jan-Mar 2021,issue,Integrity and authenticity,all,all,all,all,0.785
Proactive removal rate,quarterly,Jan-Mar 2021,issue,Minor safety,all,all,all,all,0.971
Proactive removal rate,quarterly,Jan-Mar 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.937
Proactive removal rate,quarterly,Jan-Mar 2021,issue,Violent and graphic content,all,all,all,all,0.934
Proactive removal rate,quarterly,Jan-Mar 2021,issue,Violent extremism,all,all,all,all,0.821
Videos restored,quarterly,Jan-Mar 2021,all,all,all,all,all,all,2833837.0
Total accounts removed,quarterly,Apr-Jun 2021,ban_reason,Accounts suspected to be under the age of 13 removed,all,all,all,all,11205597.0
Total accounts removed,quarterly,Apr-Jun 2021,ban_reason,Other accounts removed,all,all,all,all,2093045.0
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.9
Removal rate within 24 hours,quarterly,Apr-Jun 2021,all,all,all,all,all,all,0.93
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,Harassment and bullying,all,all,all,all,0.838
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,Hateful behavior,all,all,all,all,0.8079999999999999
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.9570000000000001
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,Integrity and authenticity,all,all,all,all,0.862
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,Minor safety,all,all,all,all,0.9540000000000001
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.9079999999999999
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,Violent and graphic content,all,all,all,all,0.943
Removal rate within 24 hours,quarterly,Apr-Jun 2021,issue,Violent extremism,all,all,all,all,0.9009999999999999
Removal rate before any views,quarterly,Apr-Jun 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.785
Removal rate before any views,quarterly,Apr-Jun 2021,all,all,all,all,all,all,0.875
Removal rate before any views,quarterly,Apr-Jun 2021,issue,Harassment and bullying,all,all,all,all,0.614
Removal rate before any views,quarterly,Apr-Jun 2021,issue,Hateful behavior,all,all,all,all,0.609
Removal rate before any views,quarterly,Apr-Jun 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.924
Removal rate before any views,quarterly,Apr-Jun 2021,issue,Integrity and authenticity,all,all,all,all,0.6859999999999999
Removal rate before any views,quarterly,Apr-Jun 2021,issue,Minor safety,all,all,all,all,0.9390000000000001
Removal rate before any views,quarterly,Apr-Jun 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.8190000000000001
Removal rate before any views,quarterly,Apr-Jun 2021,issue,Violent and graphic content,all,all,all,all,0.866
Removal rate before any views,quarterly,Apr-Jun 2021,issue,Violent extremism,all,all,all,all,0.797
Category share,quarterly,Apr-Jun 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.14
Category share,quarterly,Apr-Jun 2021,issue,Harassment and bullying,all,all,all,all,0.068
Category share,quarterly,Apr-Jun 2021,issue,Hateful behavior,all,all,all,all,0.022000000000000002
Category share,quarterly,Apr-Jun 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.209
Category share,quarterly,Apr-Jun 2021,issue,Integrity and authenticity,all,all,all,all,0.008
Category share,quarterly,Apr-Jun 2021,issue,Minor safety,all,all,all,all,0.413
Category share,quarterly,Apr-Jun 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.053
Category share,quarterly,Apr-Jun 2021,issue,Violent and graphic content,all,all,all,all,0.077
Category share,quarterly,Apr-Jun 2021,issue,Violent extremism,all,all,all,all,0.01
Total videos removed,quarterly,Apr-Jun 2021,all,all,all,all,all,all,81518334.0
Total videos removed,quarterly,Apr-Jun 2021,all,all,task_type,automation,all,all,16957950.0
Removal rate of published,quarterly,Apr-Jun 2021,all,all,all,all,all,all,0.01
Proactive removal rate,quarterly,Apr-Jun 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.903
Proactive removal rate,quarterly,Apr-Jun 2021,all,all,all,all,all,all,0.941
Proactive removal rate,quarterly,Apr-Jun 2021,issue,Harassment and bullying,all,all,all,all,0.733
Proactive removal rate,quarterly,Apr-Jun 2021,issue,Hateful behavior,all,all,all,all,0.7290000000000001
Proactive removal rate,quarterly,Apr-Jun 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.971
Proactive removal rate,quarterly,Apr-Jun 2021,issue,Integrity and authenticity,all,all,all,all,0.883
Proactive removal rate,quarterly,Apr-Jun 2021,issue,Minor safety,all,all,all,all,0.976
Proactive removal rate,quarterly,Apr-Jun 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.9420000000000001
Proactive removal rate,quarterly,Apr-Jun 2021,issue,Violent and graphic content,all,all,all,all,0.9490000000000001
Proactive removal rate,quarterly,Apr-Jun 2021,issue,Violent extremism,all,all,all,all,0.894
Videos restored,quarterly,Apr-Jun 2021,all,all,all,all,all,all,4663387.0
Total accounts removed,quarterly,Jul-Sep 2021,ban_reason,Accounts suspected to be under the age of 13 removed,all,all,all,all,12513729.0
Total accounts removed,quarterly,Jul-Sep 2021,ban_reason,Other accounts removed,all,all,all,all,2763376.0
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.909
Removal rate within 24 hours,quarterly,Jul-Sep 2021,all,all,all,all,all,all,0.9390000000000001
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,Harassment and bullying,all,all,all,all,0.84
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,Hateful behavior,all,all,all,all,0.83
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.9620000000000001
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,Integrity and authenticity,all,all,all,all,0.8190000000000001
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,Minor safety,all,all,all,all,0.9690000000000001
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.92
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,Violent and graphic content,all,all,all,all,0.9520000000000001
Removal rate within 24 hours,quarterly,Jul-Sep 2021,issue,Violent extremism,all,all,all,all,0.9159999999999999
Removal rate before any views,quarterly,Jul-Sep 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.784
Removal rate before any views,quarterly,Jul-Sep 2021,all,all,all,all,all,all,0.888
Removal rate before any views,quarterly,Jul-Sep 2021,issue,Harassment and bullying,all,all,all,all,0.617
Removal rate before any views,quarterly,Jul-Sep 2021,issue,Hateful behavior,all,all,all,all,0.605
Removal rate before any views,quarterly,Jul-Sep 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.9179999999999999
Removal rate before any views,quarterly,Jul-Sep 2021,issue,Integrity and authenticity,all,all,all,all,0.652
Removal rate before any views,quarterly,Jul-Sep 2021,issue,Minor safety,all,all,all,all,0.9520000000000001
Removal rate before any views,quarterly,Jul-Sep 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.838
Removal rate before any views,quarterly,Jul-Sep 2021,issue,Violent and graphic content,all,all,all,all,0.877
Removal rate before any views,quarterly,Jul-Sep 2021,issue,Violent extremism,all,all,all,all,0.82
Category share,quarterly,Jul-Sep 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.111
Category share,quarterly,Jul-Sep 2021,issue,Harassment and bullying,all,all,all,all,0.053
Category share,quarterly,Jul-Sep 2021,issue,Hateful behavior,all,all,all,all,0.015
Category share,quarterly,Jul-Sep 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.166
Category share,quarterly,Jul-Sep 2021,issue,Integrity and authenticity,all,all,all,all,0.005
Category share,quarterly,Jul-Sep 2021,issue,Minor safety,all,all,all,all,0.51
Category share,quarterly,Jul-Sep 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.057
Category share,quarterly,Jul-Sep 2021,issue,Violent and graphic content,all,all,all,all,0.07400000000000001
Category share,quarterly,Jul-Sep 2021,issue,Violent extremism,all,all,all,all,0.009000000000000001
Total videos removed,quarterly,Jul-Sep 2021,all,all,all,all,all,all,91445802.0
Total videos removed,quarterly,Jul-Sep 2021,all,all,task_type,automation,all,all,31009160.0
Removal rate of published,quarterly,Jul-Sep 2021,all,all,all,all,all,all,0.01
Proactive removal rate,quarterly,Jul-Sep 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.9009999999999999
Proactive removal rate,quarterly,Jul-Sep 2021,all,all,all,all,all,all,0.951
Proactive removal rate,quarterly,Jul-Sep 2021,issue,Harassment and bullying,all,all,all,all,0.7390000000000001
Proactive removal rate,quarterly,Jul-Sep 2021,issue,Hateful behavior,all,all,all,all,0.7240000000000001
Proactive removal rate,quarterly,Jul-Sep 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.9690000000000001
Proactive removal rate,quarterly,Jul-Sep 2021,issue,Integrity and authenticity,all,all,all,all,0.86
Proactive removal rate,quarterly,Jul-Sep 2021,issue,Minor safety,all,all,all,all,0.982
Proactive removal rate,quarterly,Jul-Sep 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.9520000000000001
Proactive removal rate,quarterly,Jul-Sep 2021,issue,Violent and graphic content,all,all,all,all,0.9570000000000001
Proactive removal rate,quarterly,Jul-Sep 2021,issue,Violent extremism,all,all,all,all,0.9209999999999999
Videos restored,quarterly,Jul-Sep 2021,all,all,all,all,all,all,5535378.0
Total accounts removed,quarterly,Oct-Dec 2021,ban_reason,Accounts suspected to be under the age of 13 removed,all,all,all,all,15383165.0
Total accounts removed,quarterly,Oct-Dec 2021,ban_reason,Other accounts removed,all,all,all,all,2647105.0
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.905
Removal rate within 24 hours,quarterly,Oct-Dec 2021,all,all,all,all,all,all,0.941
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,Harassment and bullying,all,all,all,all,0.845
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,Hateful behavior,all,all,all,all,0.825
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.9570000000000001
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,Integrity and authenticity,all,all,all,all,0.757
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,Minor safety,all,all,all,all,0.9620000000000001
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.927
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,Violent and graphic content,all,all,all,all,0.9490000000000001
Removal rate within 24 hours,quarterly,Oct-Dec 2021,issue,Violent extremism,all,all,all,all,0.895
Removal rate before any views,quarterly,Oct-Dec 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.7959999999999999
Removal rate before any views,quarterly,Oct-Dec 2021,all,all,all,all,all,all,0.9009999999999999
Removal rate before any views,quarterly,Oct-Dec 2021,issue,Harassment and bullying,all,all,all,all,0.669
Removal rate before any views,quarterly,Oct-Dec 2021,issue,Hateful behavior,all,all,all,all,0.652
Removal rate before any views,quarterly,Oct-Dec 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.93
Removal rate before any views,quarterly,Oct-Dec 2021,issue,Integrity and authenticity,all,all,all,all,0.67
Removal rate before any views,quarterly,Oct-Dec 2021,issue,Minor safety,all,all,all,all,0.956
Removal rate before any views,quarterly,Oct-Dec 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.8759999999999999
Removal rate before any views,quarterly,Oct-Dec 2021,issue,Violent and graphic content,all,all,all,all,0.899
Removal rate before any views,quarterly,Oct-Dec 2021,issue,Violent extremism,all,all,all,all,0.835
Category share,quarterly,Oct-Dec 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.109
Category share,quarterly,Oct-Dec 2021,issue,Harassment and bullying,all,all,all,all,0.057
Category share,quarterly,Oct-Dec 2021,issue,Hateful behavior,all,all,all,all,0.015
Category share,quarterly,Oct-Dec 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.195
Category share,quarterly,Oct-Dec 2021,issue,Integrity and authenticity,all,all,all,all,0.006
Category share,quarterly,Oct-Dec 2021,issue,Minor safety,all,all,all,all,0.451
Category share,quarterly,Oct-Dec 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.07400000000000001
Category share,quarterly,Oct-Dec 2021,issue,Violent and graphic content,all,all,all,all,0.085
Category share,quarterly,Oct-Dec 2021,issue,Violent extremism,all,all,all,all,0.008
Total videos removed,quarterly,Oct-Dec 2021,all,all,all,all,all,all,85794222.0
Total videos removed,quarterly,Oct-Dec 2021,all,all,task_type,automation,all,all,28389936.0
Removal rate of published,quarterly,Oct-Dec 2021,all,all,all,all,all,all,0.009000000000000001
Proactive removal rate,quarterly,Oct-Dec 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.903
Proactive removal rate,quarterly,Oct-Dec 2021,all,all,all,all,all,all,0.9520000000000001
Proactive removal rate,quarterly,Oct-Dec 2021,issue,Harassment and bullying,all,all,all,all,0.772
Proactive removal rate,quarterly,Oct-Dec 2021,issue,Hateful behavior,all,all,all,all,0.76
Proactive removal rate,quarterly,Oct-Dec 2021,issue,Illegal activities and regulated goods,all,all,all,all,0.968
Proactive removal rate,quarterly,Oct-Dec 2021,issue,Integrity and authenticity,all,all,all,all,0.855
Proactive removal rate,quarterly,Oct-Dec 2021,issue,Minor safety,all,all,all,all,0.982
Proactive removal rate,quarterly,Oct-Dec 2021,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.96
Proactive removal rate,quarterly,Oct-Dec 2021,issue,Violent and graphic content,all,all,all,all,0.961
Proactive removal rate,quarterly,Oct-Dec 2021,issue,Violent extremism,all,all,all,all,0.922
Videos restored,quarterly,Oct-Dec 2021,all,all,all,all,all,all,4727382.0
Total accounts removed,quarterly,Jan-Mar 2022,ban_reason,Accounts suspected to be under the age of 13 removed,all,all,all,all,20219476.0
Total accounts removed,quarterly,Jan-Mar 2022,ban_reason,Other accounts removed,all,all,all,all,3328993.0
Removal rate within 24 hours,quarterly,Jan-Mar 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.889
Removal rate within 24 hours,quarterly,Jan-Mar 2022,all,all,all,all,all,all,0.937
Removal rate within 24 hours,quarterly,Jan-Mar 2022,issue,Harassment and bullying,all,all,all,all,0.8390000000000001
Removal rate within 24 hours,quarterly,Jan-Mar 2022,issue,Hateful behavior,all,all,all,all,0.8220000000000001
Removal rate within 24 hours,quarterly,Jan-Mar 2022,issue,Illegal activities and regulated goods,all,all,all,all,0.956
