Metric,Period type,Period,Policy type,Issue policy,Task type,Task,Location,Market,Result
Proactive removal rate,Quarterly,Jul-Sep 2020,Issue,Violent and graphic content,All,All,All,All,0.937
Proactive removal rate,Quarterly,Jul-Sep 2020,Issue,Violent extremism,All,All,All,All,0.9
Videos restored,Quarterly,Jul-Sep 2020,All,All,All,All,All,All,1315135.0
Accounts removed,Quarterly,Oct-Dec 2020,Ban reason,Accounts suspected to be under the age of 13 removed,All,All,All,All,3515238.0
Accounts removed,Quarterly,Oct-Dec 2020,Ban reason,Other accounts removed,All,All,All,All,974454.0
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,Adult nudity and sexual activities,All,All,All,All,0.9009999999999999
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,All,All,All,All,All,All,0.9309999999999999
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,Harassment and bullying,All,All,All,All,0.841
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,Hateful behavior,All,All,All,All,0.85
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,Illegal activities and regulated goods,All,All,All,All,0.95
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,Integrity and authenticity,All,All,All,All,0.927
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,Minor safety,All,All,All,All,0.953
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.92
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,Violent and graphic content,All,All,All,All,0.9259999999999999
Removal rate within 24 hours,Quarterly,Oct-Dec 2020,Issue,Violent extremism,All,All,All,All,0.889
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,Adult nudity and sexual activities,All,All,All,All,0.693
Removal rate before any views,Quarterly,Oct-Dec 2020,All,All,All,All,All,All,0.809
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,Harassment and bullying,All,All,All,All,0.503
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,Hateful behavior,All,All,All,All,0.574
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,Illegal activities and regulated goods,All,All,All,All,0.858
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,Integrity and authenticity,All,All,All,All,0.637
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,Minor safety,All,All,All,All,0.905
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.799
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,Violent and graphic content,All,All,All,All,0.7759999999999999
Removal rate before any views,Quarterly,Oct-Dec 2020,Issue,Violent extremism,All,All,All,All,0.718
Category share,Quarterly,Oct-Dec 2020,Issue,Adult nudity and sexual activities,All,All,All,All,0.19699999999999998
Category share,Quarterly,Oct-Dec 2020,Issue,Harassment and bullying,All,All,All,All,0.08199999999999999
Category share,Quarterly,Oct-Dec 2020,Issue,Hateful behavior,All,All,All,All,0.025
Category share,Quarterly,Oct-Dec 2020,Issue,Illegal activities and regulated goods,All,All,All,All,0.198
Category share,Quarterly,Oct-Dec 2020,Issue,Integrity and authenticity,All,All,All,All,0.031
Category share,Quarterly,Oct-Dec 2020,Issue,Minor safety,All,All,All,All,0.312
Category share,Quarterly,Oct-Dec 2020,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.065
Category share,Quarterly,Oct-Dec 2020,Issue,Violent and graphic content,All,All,All,All,0.086
Category share,Quarterly,Oct-Dec 2020,Issue,Violent extremism,All,All,All,All,0.004
Total videos removed,Quarterly,Oct-Dec 2020,All,All,All,All,All,All,46112104.0
Total videos removed,Quarterly,Oct-Dec 2020,All,All,task_type,Automation,All,All,4923971.0
Video: Removal rate of published,Quarterly,Oct-Dec 2020,All,All,All,All,All,All,0.006
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,Adult nudity and sexual activities,All,All,All,All,0.8640000000000001
Proactive removal rate,Quarterly,Oct-Dec 2020,All,All,All,All,All,All,0.914
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,Harassment and bullying,All,All,All,All,0.653
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,Hateful behavior,All,All,All,All,0.728
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,Illegal activities and regulated goods,All,All,All,All,0.958
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,Integrity and authenticity,All,All,All,All,0.826
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,Minor safety,All,All,All,All,0.965
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.941
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,Violent and graphic content,All,All,All,All,0.927
Proactive removal rate,Quarterly,Oct-Dec 2020,Issue,Violent extremism,All,All,All,All,0.852
Videos restored,Quarterly,Oct-Dec 2020,All,All,All,All,All,All,1612146.0
Accounts removed,Quarterly,Jan-Mar 2021,Ban reason,Accounts suspected to be under the age of 13 removed,All,All,All,All,7263952.0
Accounts removed,Quarterly,Jan-Mar 2021,Ban reason,Other accounts removed,All,All,All,All,1476399.0
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.9
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,All,All,All,All,All,All,0.9309999999999999
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,Harassment and bullying,All,All,All,All,0.84
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,Hateful behavior,All,All,All,All,0.841
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.958
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,Integrity and authenticity,All,All,All,All,0.889
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,Minor safety,All,All,All,All,0.963
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.919
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,Violent and graphic content,All,All,All,All,0.938
Removal rate within 24 hours,Quarterly,Jan-Mar 2021,Issue,Violent extremism,All,All,All,All,0.872
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.696
Removal rate before any views,Quarterly,Jan-Mar 2021,All,All,All,All,All,All,0.818
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,Harassment and bullying,All,All,All,All,0.523
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,Hateful behavior,All,All,All,All,0.55
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.882
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,Integrity and authenticity,All,All,All,All,0.642
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,Minor safety,All,All,All,All,0.924
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.8029999999999999
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,Violent and graphic content,All,All,All,All,0.815
Removal rate before any views,Quarterly,Jan-Mar 2021,Issue,Violent extremism,All,All,All,All,0.6759999999999999
Category share,Quarterly,Jan-Mar 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.156
Category share,Quarterly,Jan-Mar 2021,Issue,Harassment and bullying,All,All,All,All,0.08
Category share,Quarterly,Jan-Mar 2021,Issue,Hateful behavior,All,All,All,All,0.023
Category share,Quarterly,Jan-Mar 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.21100000000000002
Category share,Quarterly,Jan-Mar 2021,Issue,Integrity and authenticity,All,All,All,All,0.02
Category share,Quarterly,Jan-Mar 2021,Issue,Minor safety,All,All,All,All,0.368
Category share,Quarterly,Jan-Mar 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.057
Category share,Quarterly,Jan-Mar 2021,Issue,Violent and graphic content,All,All,All,All,0.08
Category share,Quarterly,Jan-Mar 2021,Issue,Violent extremism,All,All,All,All,0.005
Total videos removed,Quarterly,Jan-Mar 2021,All,All,All,All,All,All,61951327.0
Total videos removed,Quarterly,Jan-Mar 2021,All,All,task_type,Automation,All,All,8832345.0
Video: Removal rate of published,Quarterly,Jan-Mar 2021,All,All,All,All,All,All,0.008
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.861
Proactive removal rate,Quarterly,Jan-Mar 2021,All,All,All,All,All,All,0.9129999999999999
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,Harassment and bullying,All,All,All,All,0.662
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,Hateful behavior,All,All,All,All,0.674
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.96
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,Integrity and authenticity,All,All,All,All,0.785
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,Minor safety,All,All,All,All,0.971
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.937
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,Violent and graphic content,All,All,All,All,0.934
Proactive removal rate,Quarterly,Jan-Mar 2021,Issue,Violent extremism,All,All,All,All,0.821
Videos restored,Quarterly,Jan-Mar 2021,All,All,All,All,All,All,2833837.0
Accounts removed,Quarterly,Apr-Jun 2021,Ban reason,Accounts suspected to be under the age of 13 removed,All,All,All,All,11205597.0
Accounts removed,Quarterly,Apr-Jun 2021,Ban reason,Other accounts removed,All,All,All,All,2093045.0
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.9
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,All,All,All,All,All,All,0.93
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,Harassment and bullying,All,All,All,All,0.838
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,Hateful behavior,All,All,All,All,0.8079999999999999
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.9570000000000001
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,Integrity and authenticity,All,All,All,All,0.862
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,Minor safety,All,All,All,All,0.9540000000000001
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.9079999999999999
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,Violent and graphic content,All,All,All,All,0.943
Removal rate within 24 hours,Quarterly,Apr-Jun 2021,Issue,Violent extremism,All,All,All,All,0.9009999999999999
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.785
Removal rate before any views,Quarterly,Apr-Jun 2021,All,All,All,All,All,All,0.875
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,Harassment and bullying,All,All,All,All,0.614
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,Hateful behavior,All,All,All,All,0.609
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.924
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,Integrity and authenticity,All,All,All,All,0.6859999999999999
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,Minor safety,All,All,All,All,0.9390000000000001
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.8190000000000001
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,Violent and graphic content,All,All,All,All,0.866
Removal rate before any views,Quarterly,Apr-Jun 2021,Issue,Violent extremism,All,All,All,All,0.797
Category share,Quarterly,Apr-Jun 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.14
Category share,Quarterly,Apr-Jun 2021,Issue,Harassment and bullying,All,All,All,All,0.068
Category share,Quarterly,Apr-Jun 2021,Issue,Hateful behavior,All,All,All,All,0.022000000000000002
Category share,Quarterly,Apr-Jun 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.209
Category share,Quarterly,Apr-Jun 2021,Issue,Integrity and authenticity,All,All,All,All,0.008
Category share,Quarterly,Apr-Jun 2021,Issue,Minor safety,All,All,All,All,0.413
Category share,Quarterly,Apr-Jun 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.053
Category share,Quarterly,Apr-Jun 2021,Issue,Violent and graphic content,All,All,All,All,0.077
Category share,Quarterly,Apr-Jun 2021,Issue,Violent extremism,All,All,All,All,0.01
Total videos removed,Quarterly,Apr-Jun 2021,All,All,All,All,All,All,81518334.0
Total videos removed,Quarterly,Apr-Jun 2021,All,All,task_type,Automation,All,All,16957950.0
Video: Removal rate of published,Quarterly,Apr-Jun 2021,All,All,All,All,All,All,0.01
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.903
Proactive removal rate,Quarterly,Apr-Jun 2021,All,All,All,All,All,All,0.941
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,Harassment and bullying,All,All,All,All,0.733
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,Hateful behavior,All,All,All,All,0.7290000000000001
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.971
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,Integrity and authenticity,All,All,All,All,0.883
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,Minor safety,All,All,All,All,0.976
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.9420000000000001
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,Violent and graphic content,All,All,All,All,0.9490000000000001
Proactive removal rate,Quarterly,Apr-Jun 2021,Issue,Violent extremism,All,All,All,All,0.894
Videos restored,Quarterly,Apr-Jun 2021,All,All,All,All,All,All,4663387.0
Accounts removed,Quarterly,Jul-Sep 2021,Ban reason,Accounts suspected to be under the age of 13 removed,All,All,All,All,12513729.0
Accounts removed,Quarterly,Jul-Sep 2021,Ban reason,Other accounts removed,All,All,All,All,2763376.0
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.909
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,All,All,All,All,All,All,0.9390000000000001
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,Harassment and bullying,All,All,All,All,0.84
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,Hateful behavior,All,All,All,All,0.83
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.9620000000000001
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,Integrity and authenticity,All,All,All,All,0.8190000000000001
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,Minor safety,All,All,All,All,0.9690000000000001
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.92
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,Violent and graphic content,All,All,All,All,0.9520000000000001
Removal rate within 24 hours,Quarterly,Jul-Sep 2021,Issue,Violent extremism,All,All,All,All,0.9159999999999999
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.784
Removal rate before any views,Quarterly,Jul-Sep 2021,All,All,All,All,All,All,0.888
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,Harassment and bullying,All,All,All,All,0.617
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,Hateful behavior,All,All,All,All,0.605
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.9179999999999999
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,Integrity and authenticity,All,All,All,All,0.652
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,Minor safety,All,All,All,All,0.9520000000000001
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.838
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,Violent and graphic content,All,All,All,All,0.877
Removal rate before any views,Quarterly,Jul-Sep 2021,Issue,Violent extremism,All,All,All,All,0.82
Category share,Quarterly,Jul-Sep 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.111
Category share,Quarterly,Jul-Sep 2021,Issue,Harassment and bullying,All,All,All,All,0.053
Category share,Quarterly,Jul-Sep 2021,Issue,Hateful behavior,All,All,All,All,0.015
Category share,Quarterly,Jul-Sep 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.166
Category share,Quarterly,Jul-Sep 2021,Issue,Integrity and authenticity,All,All,All,All,0.005
Category share,Quarterly,Jul-Sep 2021,Issue,Minor safety,All,All,All,All,0.51
Category share,Quarterly,Jul-Sep 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.057
Category share,Quarterly,Jul-Sep 2021,Issue,Violent and graphic content,All,All,All,All,0.07400000000000001
Category share,Quarterly,Jul-Sep 2021,Issue,Violent extremism,All,All,All,All,0.009000000000000001
Total videos removed,Quarterly,Jul-Sep 2021,All,All,All,All,All,All,91445802.0
Total videos removed,Quarterly,Jul-Sep 2021,All,All,task_type,Automation,All,All,31009160.0
Video: Removal rate of published,Quarterly,Jul-Sep 2021,All,All,All,All,All,All,0.01
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.9009999999999999
Proactive removal rate,Quarterly,Jul-Sep 2021,All,All,All,All,All,All,0.951
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,Harassment and bullying,All,All,All,All,0.7390000000000001
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,Hateful behavior,All,All,All,All,0.7240000000000001
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.9690000000000001
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,Integrity and authenticity,All,All,All,All,0.86
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,Minor safety,All,All,All,All,0.982
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.9520000000000001
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,Violent and graphic content,All,All,All,All,0.9570000000000001
Proactive removal rate,Quarterly,Jul-Sep 2021,Issue,Violent extremism,All,All,All,All,0.9209999999999999
Videos restored,Quarterly,Jul-Sep 2021,All,All,All,All,All,All,5535378.0
Accounts removed,Quarterly,Oct-Dec 2021,Ban reason,Accounts suspected to be under the age of 13 removed,All,All,All,All,15383165.0
Accounts removed,Quarterly,Oct-Dec 2021,Ban reason,Other accounts removed,All,All,All,All,2647105.0
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.905
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,All,All,All,All,All,All,0.941
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,Harassment and bullying,All,All,All,All,0.845
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,Hateful behavior,All,All,All,All,0.825
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.9570000000000001
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,Integrity and authenticity,All,All,All,All,0.757
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,Minor safety,All,All,All,All,0.9620000000000001
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.927
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,Violent and graphic content,All,All,All,All,0.9490000000000001
Removal rate within 24 hours,Quarterly,Oct-Dec 2021,Issue,Violent extremism,All,All,All,All,0.895
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.7959999999999999
Removal rate before any views,Quarterly,Oct-Dec 2021,All,All,All,All,All,All,0.9009999999999999
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,Harassment and bullying,All,All,All,All,0.669
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,Hateful behavior,All,All,All,All,0.652
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.93
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,Integrity and authenticity,All,All,All,All,0.67
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,Minor safety,All,All,All,All,0.956
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.8759999999999999
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,Violent and graphic content,All,All,All,All,0.899
Removal rate before any views,Quarterly,Oct-Dec 2021,Issue,Violent extremism,All,All,All,All,0.835
Category share,Quarterly,Oct-Dec 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.109
Category share,Quarterly,Oct-Dec 2021,Issue,Harassment and bullying,All,All,All,All,0.057
Category share,Quarterly,Oct-Dec 2021,Issue,Hateful behavior,All,All,All,All,0.015
Category share,Quarterly,Oct-Dec 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.195
Category share,Quarterly,Oct-Dec 2021,Issue,Integrity and authenticity,All,All,All,All,0.006
Category share,Quarterly,Oct-Dec 2021,Issue,Minor safety,All,All,All,All,0.451
Category share,Quarterly,Oct-Dec 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.07400000000000001
Category share,Quarterly,Oct-Dec 2021,Issue,Violent and graphic content,All,All,All,All,0.085
Category share,Quarterly,Oct-Dec 2021,Issue,Violent extremism,All,All,All,All,0.008
Total videos removed,Quarterly,Oct-Dec 2021,All,All,All,All,All,All,85794222.0
Total videos removed,Quarterly,Oct-Dec 2021,All,All,task_type,Automation,All,All,28389936.0
Video: Removal rate of published,Quarterly,Oct-Dec 2021,All,All,All,All,All,All,0.009000000000000001
Proactive removal rate,Quarterly,Oct-Dec 2021,Issue,Adult nudity and sexual activities,All,All,All,All,0.903
Proactive removal rate,Quarterly,Oct-Dec 2021,All,All,All,All,All,All,0.9520000000000001
Proactive removal rate,Quarterly,Oct-Dec 2021,Issue,Harassment and bullying,All,All,All,All,0.772
Proactive removal rate,Quarterly,Oct-Dec 2021,Issue,Hateful behavior,All,All,All,All,0.76
Proactive removal rate,Quarterly,Oct-Dec 2021,Issue,Illegal activities and regulated goods,All,All,All,All,0.968
Proactive removal rate,Quarterly,Oct-Dec 2021,Issue,Integrity and authenticity,All,All,All,All,0.855
Proactive removal rate,Quarterly,Oct-Dec 2021,Issue,Minor safety,All,All,All,All,0.982
Proactive removal rate,Quarterly,Oct-Dec 2021,Issue,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.96
Proactive removal rate,Quarterly,Oct-Dec 2021,Issue,Violent and graphic content,All,All,All,All,0.961
